Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,2.86,2.86,2.86,0.00,0.00,1.43,2.86,50.0,1.43,0.00,0.00,0.00,1.43,4.29,4.29,0.00,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,2.26,0.91,0.87,1.30,0.10,1.20,2.79,43.1,1.59,0.58,0.19,0.38,0.58,2.84,0.77,0.00,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,1.50,0.80,1.23,0.27,0.00,0.86,1.34,64.0,0.48,1.07,0.64,0.43,1.71,3.21,3.37,0.05,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,4.17,1.67,0.83,1.67,1.67,1.67,4.17,40.0,2.50,1.67,0.00,1.67,0.00,4.17,0.00,0.00,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,1.83,1.46,1.34,0.37,0.12,0.98,1.46,66.7,0.49,0.61,0.12,0.49,1.71,3.54,2.32,0.00,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,0.81,0.52,0.11,0.33,0.37,0.37,1.29,28.6,0.92,0.77,0.07,0.70,0.48,1.29,0.85,0.00,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.08,0.08,0.46,0.00,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,10.0,10.0,10.0,0.00,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,0.82,0.35,0.18,0.35,0.29,0.18,0.59,30.0,0.41,1.06,0.00,1.06,0.35,1.18,0.35,0.00,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,1.83,0.87,1.30,0.53,0.00,0.96,2.07,46.5,1.11,0.63,0.14,0.48,0.82,2.64,2.16,0.00,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,1.74,0.93,1.26,0.48,0.00,0.75,1.26,59.5,0.51,1.32,0.87,0.45,1.05,2.78,4.34,0.03,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,1.67,1.67,0.00,1.67,0.00,0.00,6.67,0.0,6.67,1.67,0.00,1.67,0.00,1.67,1.67,0.00,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,1.13,0.57,0.57,0.19,0.38,0.57,2.08,27.3,1.51,0.57,0.38,0.19,1.13,2.26,0.38,0.00,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,1.00,0.82,0.43,0.30,0.26,0.48,1.04,45.8,0.56,0.82,0.09,0.74,0.65,1.65,0.91,0.00,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,1.14,0.63,0.89,0.25,0.00,0.63,1.01,62.5,0.38,1.01,0.63,0.38,0.89,2.03,5.44,0.00,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,2.16,0.54,0.27,0.81,1.08,0.54,0.81,66.7,0.27,0.27,0.00,0.27,0.27,2.43,0.81,0.00,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,0.92,0.34,0.58,0.29,0.05,0.44,1.12,39.1,0.68,1.21,0.92,0.29,1.07,1.99,3.98,0.00,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,2.40,1.60,1.40,0.90,0.10,1.55,2.25,68.9,0.70,1.15,0.50,0.65,1.50,3.90,3.85,0.00,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,0.77,0.00,0.00,0.77,0.00,0.77,2.31,33.3,1.54,0.77,0.00,0.77,0.77,1.54,0.00,0.00,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,2.50,2.50,0.00,0.00,2.50,0.00,2.50,0.0,2.50,2.50,0.00,2.50,0.00,2.50,0.00,0.00,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,1.00,0.46,0.92,0.08,0.00,0.46,0.85,54.5,0.38,0.23,0.23,0.00,0.77,1.77,4.00,0.00,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,1.11,0.89,0.11,0.78,0.22,0.22,1.33,16.7,1.11,0.89,0.22,0.67,0.00,1.11,1.67,0.00,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,0.64,0.40,0.24,0.40,0.00,0.16,1.04,15.4,0.88,1.20,0.16,1.04,0.56,1.20,1.04,0.00,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,1.88,1.25,1.56,0.31,0.00,0.94,1.25,75.0,0.31,0.63,0.63,0.00,2.50,4.38,0.94,0.00,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,1.82,1.25,1.31,0.40,0.10,1.18,1.82,64.8,0.64,0.67,0.30,0.37,1.04,2.86,2.56,0.03,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,0.94,0.63,0.00,0.94,0.00,0.31,0.94,33.3,0.63,0.63,0.00,0.63,0.00,0.94,0.00,0.00,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,2.09,1.05,1.10,0.89,0.10,0.84,1.73,48.5,0.89,0.52,0.16,0.37,0.99,3.09,2.83,0.00,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,1.94,1.06,1.06,0.56,0.33,1.11,2.50,44.4,1.39,0.94,0.39,0.56,0.94,2.89,1.56,0.00,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.0,1.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,0.86,0.57,0.57,0.29,0.00,0.00,0.29,0.0,0.29,0.00,0.00,0.00,0.29,1.14,0.86,0.00,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,1.30,0.77,0.98,0.28,0.04,0.61,1.14,53.6,0.53,1.06,0.85,0.20,1.50,2.80,4.51,0.00,Matches,226e5efd
