Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,0.00,2.31,0.38,16.7,2.31,0.38,0.00,0.00,18.0,0.00,0.00,0.00,0.12,0.12,0.05,-0.12,-0.12,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,0.43,2.48,1.13,45.7,2.48,1.13,0.11,0.25,15.8,0.07,0.14,0.21,0.41,0.25,0.10,0.01,0.04,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,0.00,0.81,0.35,42.9,0.82,0.35,0.00,0.00,27.3,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,0.00,0.83,0.83,100.0,0.83,0.83,0.00,0.00,23.9,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,0.00,0.67,0.00,0.0,0.66,0.00,0.00,,17.3,0.00,0.00,0.00,0.07,0.07,0.12,-0.07,-0.07,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,0.00,1.30,0.87,66.7,1.30,0.87,0.00,0.00,24.5,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,0.05,0.42,0.05,12.5,0.42,0.05,0.13,1.00,8.7,0.00,0.00,0.00,0.05,0.05,0.11,0.01,0.01,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,0.10,0.41,0.20,50.0,0.41,0.20,0.25,0.50,14.2,0.10,0.00,0.00,0.06,0.06,0.15,0.04,0.04,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,0.06,0.87,0.12,14.3,0.87,0.12,0.07,0.50,24.2,0.00,0.00,0.00,0.05,0.05,0.06,0.01,0.01,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,0.10,0.99,0.20,20.0,0.99,0.20,0.10,0.50,20.1,0.00,0.00,0.00,0.06,0.06,0.06,0.04,0.04,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,0.00,0.00,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,0.00,0.20,0.20,100.0,0.20,0.20,0.00,0.00,10.8,0.00,0.00,0.00,0.02,0.02,0.10,-0.02,-0.02,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,0.22,2.20,0.86,39.1,2.21,0.86,0.10,0.26,17.3,0.00,0.00,0.00,0.26,0.26,0.12,-0.04,-0.04,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,0.00,1.48,0.56,37.5,1.49,0.56,0.00,0.00,19.6,0.00,0.00,0.00,0.11,0.11,0.07,-0.11,-0.11,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,0.25,1.44,0.37,25.7,1.44,0.37,0.09,0.33,19.2,0.08,0.12,0.12,0.26,0.16,0.11,-0.01,-0.04,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,0.00,0.28,0.12,44.4,0.28,0.12,0.00,0.00,15.5,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,0.41,1.89,0.41,21.4,1.89,0.40,0.14,0.67,17.3,0.27,0.14,0.14,0.23,0.12,0.06,0.18,0.15,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,0.00,1.22,0.00,0.0,1.23,0.00,0.00,,,,0.00,0.00,,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,16.4,0.00,0.00,0.00,0.03,0.03,0.09,-0.03,-0.03,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,0.00,0.51,0.13,25.0,0.51,0.13,0.00,0.00,16.8,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches,041250aa
