Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
11,Alex,br BRA,DF,Santos,22,1999,3.7,55.9,10.5,30.3,25.4,0.54,0.54,55.9,0.27,0.00,0.0,0.00,0.0,34.6,168.1,85.9,0.00,0.00,0.00,0.81,0.27,35.1,0.00,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,64.3,2.18,14.7,43.3,6.82,0.82,64.3,0.73,0.27,37.5,0.27,37.5,39.7,253.4,165.9,2.55,1.09,0.18,1.45,0.45,41.9,1.45,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,55.6,3.59,18.9,25.6,11.6,0.45,55.6,1.15,0.64,55.6,0.51,44.4,28.9,158.5,92.1,1.92,0.64,0.06,1.09,0.32,30.1,4.42,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,71.6,3.60,23.2,27.6,22.0,2.00,71.6,5.20,1.60,30.8,2.40,46.2,43.2,319.2,201.2,3.60,3.20,1.20,0.80,2.40,40.4,4.40,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,51.3,1.05,4.38,26.9,20.8,2.57,51.3,1.14,0.48,41.7,0.38,33.3,31.8,162.7,82.6,2.76,2.10,0.57,0.95,1.43,39.0,6.76,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,76.0,2.76,18.5,48.3,9.80,0.30,76.0,1.15,0.72,62.9,0.36,31.4,49.1,280.3,140.3,1.68,1.61,0.03,0.92,0.30,58.1,0.66,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,51.0,2.00,13.0,26.0,12.0,1.00,51.0,2.00,2.00,100.0,0.00,0.0,29.0,227.0,132.0,4.00,3.00,1.00,2.00,0.00,28.0,3.00,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,33.4,0.60,2.17,14.6,16.7,4.76,33.3,2.53,1.20,47.6,1.14,45.2,18.3,80.5,29.7,1.02,1.14,0.54,2.89,2.29,23.5,5.36,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,80.3,9.38,36.1,39.8,4.78,1.28,80.3,0.35,0.31,90.0,0.03,10.0,47.7,221.3,128.9,0.59,0.83,0.03,0.31,0.14,56.2,0.48,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,23.0,20.0,23.0,0.00,0.00,0.00,23.0,0.00,0.00,,0.00,,13.6,71.1,43.8,0.00,0.00,0.00,0.00,0.00,11.5,0.00,Matches,12421a7c
