Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,61.3,5.00,18.8,38.8,5.00,0.00,61.3,1.25,0.00,0.0,1.25,100.0,32.5,102.5,48.8,0.00,0.00,0.00,5.00,0.00,36.3,2.50,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,49.9,4.16,13.3,29.6,7.46,0.49,49.9,0.92,0.38,41.2,0.49,52.9,25.5,127.4,61.2,1.03,0.97,0.22,1.14,0.59,28.5,0.86,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,80.0,8.75,40.0,38.8,2.50,1.25,80.0,1.25,1.25,100.0,0.00,0.0,55.0,358.8,217.5,0.00,0.00,0.00,1.25,0.00,52.5,0.00,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,56.4,3.42,14.7,28.3,13.9,1.78,56.3,0.75,0.34,45.5,0.31,40.9,27.0,137.8,66.3,0.99,0.96,0.03,0.99,0.48,27.8,2.60,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,25.4,0.96,3.27,11.6,10.9,4.30,25.4,0.67,0.32,47.8,0.32,47.8,13.1,48.0,18.8,0.41,0.56,0.20,1.14,0.73,16.9,3.68,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,38.7,0.71,5.38,16.2,17.9,2.76,38.7,2.56,1.15,45.0,1.35,52.5,23.4,142.9,63.5,1.79,1.60,0.45,2.69,1.47,25.1,6.28,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,81.0,2.55,15.8,54.2,11.7,0.10,81.0,0.78,0.69,87.5,0.10,12.5,52.5,238.1,125.4,1.08,1.37,0.00,0.69,0.39,55.3,0.98,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,37.1,1.25,9.40,14.3,14.1,1.74,37.1,3.26,0.98,30.0,1.85,56.7,24.3,188.8,80.9,2.55,1.68,0.54,1.90,0.98,23.9,5.87,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,68.7,3.37,17.7,31.9,20.4,1.39,68.7,2.66,1.24,46.5,1.08,40.7,33.9,220.1,124.7,3.00,2.14,0.37,1.61,1.02,34.9,5.42,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,50.9,0.91,8.18,28.0,15.1,1.09,50.9,0.91,0.18,20.0,0.73,80.0,26.7,106.7,38.7,0.91,1.09,0.00,2.18,0.73,35.3,3.27,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,64.3,2.74,12.4,39.3,13.3,2.42,64.3,2.36,1.27,54.1,0.96,40.5,37.1,188.7,90.8,1.21,1.59,0.25,2.23,1.40,41.7,2.36,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,60.0,3.41,17.0,27.9,15.5,1.16,60.0,0.62,0.31,50.0,0.16,25.0,27.3,143.3,74.0,0.93,1.09,0.16,0.93,0.85,29.4,3.49,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,45.1,11.2,28.3,14.9,1.95,1.46,45.1,0.00,0.00,,0.00,,20.7,102.7,45.9,0.00,0.00,0.00,0.24,0.00,24.1,0.00,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,62.1,1.03,8.62,34.8,19.3,0.69,62.1,0.69,0.69,100.0,0.00,0.0,34.8,161.0,76.6,0.34,2.07,0.00,1.72,0.69,43.1,4.48,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,29.1,0.37,1.11,13.3,15.2,7.22,29.1,1.11,0.37,33.3,0.74,66.7,15.9,68.9,21.9,0.56,0.56,0.19,5.19,1.30,18.0,4.26,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,26.6,24.0,26.6,0.09,0.00,0.00,26.6,0.00,0.00,,0.00,,12.2,84.8,57.2,0.00,0.00,0.00,0.00,0.00,6.32,0.00,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,42.5,0.00,5.00,27.5,10.0,2.50,42.5,0.00,0.00,,0.00,,40.0,157.5,70.0,0.00,0.00,0.00,5.00,5.00,40.0,2.50,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,53.7,1.84,9.47,31.3,13.8,1.45,53.7,1.45,0.92,63.6,0.39,27.3,29.9,131.7,52.0,0.39,0.53,0.13,2.24,1.45,32.6,1.97,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,60.6,1.88,14.4,34.4,11.9,0.00,60.6,0.00,0.00,,0.00,,32.5,127.5,58.1,0.63,0.00,0.00,2.50,3.13,35.6,0.63,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,30.1,25.9,30.1,0.09,0.00,0.00,30.1,0.00,0.00,,0.00,,15.3,97.1,61.2,0.00,0.00,0.00,0.03,0.00,8.79,0.00,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,55.7,10.0,31.2,23.4,1.49,0.86,55.7,0.26,0.20,77.8,0.06,22.2,32.9,191.2,123.8,0.69,0.20,0.00,0.51,0.17,36.1,0.17,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,36.9,0.34,3.62,15.9,18.6,1.90,36.9,5.52,3.10,56.3,2.41,43.8,29.7,202.9,96.9,3.79,2.07,0.34,2.76,2.07,29.0,8.28,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,46.0,0.00,22.0,20.0,4.00,0.00,46.0,2.00,2.00,100.0,0.00,0.0,18.0,90.0,36.0,0.00,2.00,0.00,0.00,0.00,14.0,0.00,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,33.8,30.0,33.6,0.24,0.00,0.00,33.8,0.04,0.04,100.0,0.00,0.0,17.1,114.4,86.4,0.00,0.00,0.00,0.08,0.00,8.88,0.00,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,51.2,5.29,20.9,25.8,5.04,1.43,51.2,0.76,0.42,55.6,0.34,44.4,23.6,118.7,63.6,0.76,0.42,0.00,0.84,0.50,27.1,1.09,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,61.1,7.08,28.9,30.3,2.22,1.49,61.1,0.44,0.35,78.6,0.10,21.4,35.0,176.1,106.1,0.60,0.22,0.00,0.35,0.03,41.0,0.03,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,39.0,7.80,26.0,12.4,0.72,0.46,39.0,0.16,0.13,80.0,0.03,20.0,19.0,86.7,39.4,0.30,0.16,0.03,0.16,0.13,20.5,0.03,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,39.8,8.15,21.9,16.7,1.23,0.85,39.8,0.23,0.23,100.0,0.00,0.0,21.2,119.8,69.6,0.62,0.15,0.00,0.15,0.08,22.6,0.08,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,59.5,8.67,31.1,27.4,1.21,0.73,59.5,0.24,0.12,50.0,0.12,50.0,35.6,171.3,100.0,0.36,0.18,0.00,0.36,0.06,40.7,0.00,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,33.3,8.33,21.7,8.33,3.33,2.22,33.3,0.00,0.00,,0.00,,15.6,71.1,32.8,0.00,0.56,0.56,1.11,0.00,16.1,0.00,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,52.9,1.24,8.80,26.5,18.3,1.16,52.8,1.57,0.70,44.7,0.79,50.0,30.5,189.8,77.6,1.90,1.61,0.17,1.65,0.91,33.2,3.51,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,47.5,1.67,8.33,25.0,14.4,1.88,47.5,1.67,0.63,37.5,0.83,50.0,25.8,103.8,36.5,0.63,0.63,0.42,1.25,0.63,30.6,2.50,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,35.2,0.98,3.02,18.8,13.7,4.04,35.2,0.72,0.45,63.2,0.26,36.8,16.0,59.8,18.8,0.45,0.45,0.15,2.00,1.02,24.6,4.11,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,26.2,0.96,4.04,9.23,13.7,2.12,26.2,0.96,0.38,40.0,0.58,60.0,13.8,80.6,39.4,1.92,1.54,0.38,1.92,1.35,16.9,4.42,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,47.9,1.38,9.25,27.3,11.5,1.75,47.9,0.63,0.13,20.0,0.50,80.0,25.0,116.8,46.5,0.63,0.88,0.25,1.38,0.63,29.1,3.63,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,56.3,8.27,31.2,23.5,1.92,0.58,56.3,0.19,0.00,0.0,0.19,100.0,29.0,133.8,78.1,0.19,0.00,0.00,0.77,0.38,33.8,0.00,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,31.4,1.67,2.78,13.3,15.8,5.28,31.4,1.39,0.83,60.0,0.56,40.0,18.3,126.7,53.1,1.67,1.11,1.11,3.33,1.39,20.8,6.67,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,10.9,36.5,1.19,3.30,15.9,18.0,5.50,36.5,1.56,0.83,52.9,0.64,41.2,17.2,88.7,37.0,1.10,0.55,0.18,2.94,0.37,24.6,6.70,Matches,e539e239
142,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,53.1,1.67,10.7,31.0,12.5,1.56,53.1,1.88,0.94,50.0,0.73,38.9,30.2,144.9,65.1,1.35,1.04,0.00,1.67,1.77,35.1,2.71,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,,,,,,,,,,,,,,,,,,,,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,60.3,3.53,16.5,37.1,7.65,1.18,60.3,0.59,0.59,100.0,0.00,0.0,35.3,157.1,51.2,0.88,1.47,0.00,0.88,0.29,37.4,1.47,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,49.7,8.04,28.2,19.6,2.17,1.47,49.7,0.11,0.05,50.0,0.05,50.0,20.9,99.5,60.3,0.11,0.05,0.00,0.16,0.00,23.4,0.22,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,39.7,2.90,6.45,18.7,14.8,3.87,39.7,1.94,0.97,50.0,0.97,50.0,22.6,86.8,26.1,1.29,0.97,0.65,2.58,1.94,26.8,5.81,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,64.1,3.37,17.4,36.8,11.1,0.41,64.1,1.96,1.33,67.9,0.59,30.2,34.0,219.4,129.0,2.52,1.89,0.11,1.15,0.74,37.1,2.89,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,51.3,0.82,9.02,29.0,14.3,1.31,51.3,2.13,1.15,53.8,0.66,30.8,31.0,175.2,82.1,2.13,0.98,0.33,0.82,1.97,37.5,4.26,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,54.5,1.54,9.69,27.2,18.1,0.38,54.5,0.62,0.23,37.5,0.38,62.5,27.8,147.1,61.7,1.08,0.85,0.00,0.69,0.46,32.5,4.00,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,80.0,0.00,30.0,40.0,30.0,10.0,80.0,10.0,0.00,0.0,10.0,100.0,30.0,460.0,120.0,0.00,0.00,0.00,0.00,0.00,30.0,10.0,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,52.0,0.83,7.39,22.8,23.8,2.17,52.0,4.22,2.11,50.0,1.89,44.7,33.1,237.3,121.1,4.22,2.94,0.89,3.28,1.56,34.7,9.06,Matches,5c8615dd
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,57.6,7.86,29.6,26.0,2.63,1.09,57.6,0.32,0.25,77.8,0.07,22.2,31.4,134.8,67.7,0.35,0.32,0.00,0.42,0.04,34.6,0.18,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,80.0,0.00,6.25,47.5,26.3,1.25,80.0,1.25,1.25,100.0,0.00,0.0,62.5,208.8,97.5,2.50,1.25,0.00,1.25,2.50,68.8,10.0,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,36.3,1.04,6.88,14.4,15.9,1.68,36.3,3.05,1.43,47.1,1.40,45.9,21.5,154.4,74.9,2.40,1.94,0.43,2.65,2.01,22.4,4.62,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23.0,26.6,23.5,26.5,0.09,0.00,0.00,26.6,0.04,0.04,100.0,0.00,0.0,12.9,74.3,36.9,0.00,0.00,0.00,0.04,0.00,8.43,0.00,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,2.6,31.2,7.69,19.6,10.0,1.92,1.92,31.2,0.38,0.00,0.0,0.38,100.0,14.6,72.3,47.3,0.00,0.00,0.00,0.38,0.00,15.4,0.00,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,54.6,1.90,11.3,35.0,8.95,0.79,54.6,1.44,0.69,47.7,0.66,45.5,30.1,160.7,73.7,1.25,1.02,0.16,1.02,0.79,35.3,1.21,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,0.1,10.0,0.00,0.00,0.00,10.0,0.00,10.0,0.00,0.00,,0.00,,10.0,120.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,9.1,37.0,0.77,3.30,14.9,19.7,4.18,37.0,2.64,1.21,45.8,1.32,50.0,22.1,138.5,60.9,2.64,1.32,0.55,2.75,1.54,26.3,6.37,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,86.7,0.00,0.00,46.7,40.0,0.00,86.7,10.0,0.00,0.0,6.67,66.7,80.0,570.0,170.0,10.0,6.67,3.33,6.67,13.3,73.3,26.7,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,68.6,0.24,4.33,27.3,37.9,5.43,68.6,3.17,1.77,55.8,1.28,40.4,44.1,197.9,83.4,2.26,1.83,1.16,2.99,2.01,52.0,9.76,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,58.8,1.41,11.2,37.7,10.8,0.38,58.8,1.79,1.03,57.1,0.51,28.6,36.0,204.0,93.7,1.28,1.15,0.00,1.79,1.41,41.3,1.92,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,50.0,0.00,10.0,28.3,13.3,0.00,50.0,3.33,3.33,100.0,0.00,0.0,30.0,166.7,76.7,1.67,3.33,0.00,3.33,1.67,33.3,3.33,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,46.6,1.56,6.56,20.9,20.3,2.19,46.6,4.38,2.19,50.0,2.19,50.0,30.6,160.3,67.8,1.88,1.25,0.63,2.81,1.56,33.1,9.69,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,60.4,0.38,4.62,25.4,31.2,6.54,60.4,6.15,2.69,43.8,2.69,43.8,40.8,316.9,164.2,6.54,2.69,3.08,4.62,2.31,40.4,13.5,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,36.0,1.84,3.83,17.3,15.5,5.04,35.7,1.91,0.50,25.9,1.35,70.4,16.5,74.6,31.4,0.92,1.21,0.57,2.77,1.35,24.8,4.75,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,49.0,1.63,8.37,24.7,16.6,0.93,49.0,3.14,1.86,59.3,1.28,40.7,29.7,192.4,90.7,2.21,1.16,0.12,3.14,1.40,30.6,3.60,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,44.2,3.33,13.3,28.3,3.33,0.00,44.2,0.00,0.00,,0.00,,18.3,113.3,76.7,2.50,1.67,0.00,0.83,0.00,24.2,0.00,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,44.7,2.67,12.7,25.3,6.67,0.67,44.7,0.67,0.00,0.0,0.67,100.0,21.3,94.7,47.3,1.33,0.00,0.00,1.33,0.00,29.3,1.33,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,43.9,1.30,8.70,20.0,15.2,0.87,43.9,0.43,0.43,100.0,0.00,0.0,27.0,101.3,49.1,0.43,0.87,0.00,0.00,1.74,31.7,6.09,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,35.0,29.0,34.5,0.50,0.00,0.00,35.0,0.00,0.00,,0.00,,21.5,116.0,96.5,0.00,0.00,0.00,0.00,0.00,13.0,0.00,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,65.0,7.17,29.8,32.7,2.62,0.73,65.0,0.58,0.52,90.9,0.05,9.1,39.5,211.9,120.5,0.68,0.68,0.00,0.47,0.00,44.3,0.21,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,70.1,2.35,17.0,41.5,12.8,1.02,70.1,1.53,1.33,86.7,0.00,0.0,48.4,259.3,118.4,1.84,2.65,0.10,1.43,0.82,52.9,2.76,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,30.5,27.0,30.5,0.00,0.00,0.00,30.5,0.00,0.00,,0.00,,11.5,37.5,34.5,0.00,0.00,0.00,0.00,0.00,11.5,0.00,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,48.4,3.83,14.4,22.3,12.8,0.75,48.4,3.64,2.21,60.7,1.09,29.9,24.9,178.1,107.8,2.59,1.96,0.25,1.93,0.87,24.7,2.09,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,55.8,1.98,13.8,25.6,16.5,1.68,55.8,0.59,0.30,50.0,0.20,33.3,28.6,118.8,56.8,1.29,1.29,0.30,0.79,0.50,32.5,4.95,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,25.0,22.0,25.0,0.00,0.00,0.00,25.0,0.00,0.00,,0.00,,9.50,47.0,32.0,0.00,0.00,0.00,0.50,0.00,5.50,0.00,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,30.1,27.5,30.1,0.00,0.00,0.00,30.1,0.00,0.00,,0.00,,13.8,96.8,61.2,0.00,0.00,0.00,0.06,0.00,7.13,0.00,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,,,,,,,,,,,,,,,,,,,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,46.6,3.20,12.2,28.6,6.80,1.00,46.6,0.40,0.40,100.0,0.00,0.0,24.6,128.8,53.6,0.60,1.00,0.00,1.00,0.20,27.6,1.20,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,72.2,18.9,28.9,38.9,5.56,0.00,72.2,2.22,2.22,100.0,0.00,0.0,37.8,200.0,104.4,0.00,0.00,0.00,1.11,2.22,37.8,1.11,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,47.4,0.32,3.93,18.5,25.7,4.47,47.4,4.03,1.73,42.9,1.98,49.2,30.7,228.2,132.0,4.98,2.91,1.79,1.73,0.89,34.3,9.87,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,46.7,3.33,21.7,21.7,4.17,0.00,46.7,1.67,0.83,50.0,0.00,0.0,30.0,138.3,66.7,1.67,0.83,0.00,2.50,0.83,28.3,0.83,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,37.0,1.85,8.70,15.4,13.3,1.11,37.0,2.96,1.11,37.5,1.67,56.3,24.8,155.0,79.8,2.78,2.78,0.00,2.04,1.48,25.7,6.11,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,56.3,1.69,8.60,32.1,16.2,1.44,56.1,1.60,0.70,43.6,0.78,48.7,35.1,172.4,88.2,2.22,1.40,0.12,1.36,1.07,40.4,3.33,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,45.0,7.71,25.4,19.0,1.13,0.46,45.0,0.40,0.24,61.5,0.09,23.1,23.2,148.6,97.6,0.43,0.12,0.00,0.31,0.15,23.6,0.09,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,28.4,0.27,1.76,11.6,15.5,3.92,28.2,1.35,0.41,30.0,0.68,50.0,16.9,93.2,44.1,2.03,0.81,0.54,2.97,0.68,19.5,7.03,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,,,,,,,,,,,,,,,,,,,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,63.3,3.74,17.3,30.0,16.9,1.32,63.3,1.87,1.10,58.8,0.66,35.3,34.9,208.7,119.2,2.20,1.98,0.22,1.21,0.77,40.1,2.97,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,66.8,10.6,34.6,30.3,2.09,0.44,66.8,0.32,0.06,20.0,0.25,80.0,39.6,206.8,122.8,0.70,0.70,0.00,0.38,0.19,43.9,0.06,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,50.5,1.48,6.15,31.6,13.3,3.28,50.5,2.13,1.31,61.5,0.66,30.8,33.0,202.9,87.0,1.80,2.13,0.25,2.05,0.57,37.2,3.44,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,32.2,1.00,4.10,13.7,15.1,2.40,32.2,3.40,1.50,44.1,1.60,47.1,21.7,133.9,52.5,1.60,1.10,0.40,3.70,1.70,21.1,6.30,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,51.4,3.64,16.9,29.5,5.50,0.93,51.4,0.39,0.23,60.0,0.16,40.0,28.5,122.2,46.9,0.54,0.62,0.08,0.85,0.39,32.8,0.54,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,66.6,1.38,6.90,34.1,26.6,3.10,66.6,2.41,2.07,85.7,0.34,14.3,30.3,212.4,74.8,1.72,1.38,0.69,2.41,1.38,42.4,4.83,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,51.0,7.57,25.8,24.4,1.46,0.40,51.0,0.28,0.16,57.1,0.12,42.9,28.1,138.8,80.1,0.40,0.36,0.04,0.20,0.04,31.1,0.16,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,19.7,0.00,0.59,4.41,14.7,7.94,19.7,1.47,1.18,80.0,0.00,0.0,14.1,71.8,34.7,1.18,0.29,0.88,1.76,2.65,15.0,3.82,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,45.5,3.32,11.7,27.5,6.63,1.22,45.5,1.71,0.83,48.6,0.83,48.6,23.0,105.1,50.4,0.63,0.49,0.05,0.93,0.59,24.5,1.22,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,50.8,0.60,3.93,19.1,28.4,3.42,50.7,6.07,2.65,43.7,2.99,49.3,36.0,241.7,129.5,4.02,2.31,1.03,2.22,1.97,38.3,12.6,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,23.5,0.67,0.97,9.33,13.7,4.67,23.5,2.42,1.27,52.5,1.03,42.5,14.1,97.6,37.4,1.76,1.45,0.85,3.88,1.45,17.2,5.45,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,50.0,0.00,7.50,25.0,17.5,2.50,50.0,3.33,1.67,50.0,0.00,0.0,30.0,171.7,90.0,2.50,1.67,1.67,2.50,0.83,35.8,5.83,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,53.8,1.93,9.21,30.6,14.5,1.72,53.7,1.34,0.93,69.2,0.38,28.2,32.7,157.3,75.5,1.24,1.21,0.10,1.59,0.93,36.1,2.79,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,51.6,0.33,5.43,18.5,28.7,3.57,51.6,3.38,1.33,39.4,1.62,47.9,32.6,253.9,129.9,4.71,2.29,1.52,2.19,0.71,36.4,9.43,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,33.1,29.2,32.8,0.27,0.00,0.00,33.1,0.00,0.00,,0.00,,21.5,98.8,52.2,0.00,0.00,0.00,0.00,0.00,20.8,0.00,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,45.9,0.68,7.95,25.7,13.4,0.91,45.9,2.05,0.68,33.3,1.36,66.7,29.3,202.5,92.3,2.50,2.05,0.23,1.36,0.68,32.3,6.82,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,80.0,1.25,11.3,60.0,8.75,0.00,80.0,0.00,0.00,,0.00,,45.0,240.0,121.3,0.00,3.75,0.00,0.00,0.00,57.5,0.00,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,29.3,0.00,0.67,9.33,19.3,4.67,29.3,2.67,2.00,75.0,0.67,25.0,18.0,64.0,22.0,0.67,0.67,0.00,4.00,1.33,22.0,7.33,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,27.2,24.5,27.2,0.11,0.00,0.00,27.2,0.00,0.00,,0.00,,13.3,60.4,35.4,0.00,0.00,0.00,0.00,0.00,9.74,0.00,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,40.8,0.60,6.29,19.0,16.5,2.81,40.8,4.85,2.75,56.8,1.98,40.7,27.8,181.5,76.9,2.22,2.10,0.48,2.69,2.10,29.4,5.99,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,83.8,3.10,21.7,40.2,23.0,0.50,83.8,1.50,0.80,53.3,0.30,20.0,45.8,185.1,98.5,2.00,1.60,0.30,1.10,0.10,54.0,5.00,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,55.6,2.37,13.3,38.0,5.20,0.17,55.6,1.41,1.07,76.0,0.28,20.0,34.3,167.6,87.3,1.19,0.40,0.06,1.30,0.56,37.3,0.40,Matches,d1fcff2f
