Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
310,Pablo Javier García,uy URU,FW,Coritiba,22,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,0.00,0.00,,Matches,895321cd
311,Jean,br BRA,MF,Juventude,27,1994,13.1,0.46,0.00,0.00,1.83,1.15,0.08,0.38,2.98,2.29,0.00,0.00,0.00,5.27,2.06,1.83,52.9,Matches,69a34ec0
312,Jefferson,br BRA,DF,Atl Goianiense,25,1997,25.3,0.20,0.00,0.00,1.50,0.83,0.00,2.92,0.91,0.87,0.00,0.00,0.00,5.53,1.11,0.91,54.9,Matches,9df5f945
313,Jefferson,br BRA,FW,Botafogo (RJ),22,1999,17.8,0.17,0.00,0.00,1.29,1.91,0.06,0.67,0.67,0.90,0.00,0.00,0.00,6.24,0.56,0.96,37.0,Matches,45cce300
314,Jemerson,br BRA,DF,Atlético Mineiro,29,1992,11.1,0.54,0.00,0.00,1.89,0.54,0.09,0.00,0.90,0.72,0.00,0.00,0.00,4.14,1.71,1.17,59.4,Matches,7cab69b5
315,Jenison,br BRA,FW,Cuiabá,30,1991,3.6,0.56,0.00,0.00,2.22,0.83,0.28,0.83,0.56,0.28,0.00,0.00,0.00,4.17,5.00,3.06,62.1,Matches,767e6b7f
316,Alexandre Jesus,br BRA,MFDF,Fluminense,20,2001,0.7,0.00,0.00,0.00,1.43,1.43,0.00,7.14,7.14,0.00,0.00,0.00,0.00,14.3,2.86,7.14,28.6,Matches,25a323f3
317,Jô,br BRA,FW,Ceará,34,1987,8.7,0.11,0.11,0.00,1.61,1.15,0.92,0.23,0.23,0.11,0.00,0.00,0.00,1.72,4.48,2.53,63.9,Matches,e47d11f8
318,Jô,br BRA,FW,Corinthians,34,1987,2.2,0.45,0.00,0.00,1.82,2.27,0.45,0.45,0.45,0.45,0.00,0.00,0.00,1.82,5.91,3.64,61.9,Matches,e47d11f8
319,Joaquim,br BRA,DF,Cuiabá,23,1998,23.9,0.17,0.00,0.00,1.13,0.84,0.04,0.17,1.51,1.17,0.00,0.00,0.00,5.86,3.81,1.34,74.0,Matches,69e5e199
320,John,br BRA,GK,Santos,25,1996,1.0,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,33a235af
321,Jonas,br BRA,MF,São Paulo,22,1999,0.3,0.00,0.00,0.00,3.33,3.33,0.00,6.67,3.33,0.00,0.00,0.00,0.00,3.33,0.00,0.00,,Matches,32794a5b
322,Felipe Jonatan,br BRA,DF,Santos,23,1998,23.0,0.13,0.00,0.00,1.09,0.91,0.09,4.13,1.48,0.74,0.00,0.00,0.00,6.78,1.00,1.22,45.1,Matches,0102ca7f
323,Jonathan,br BRA,DF,Botafogo (RJ),23,1998,0.5,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,4.00,2.00,8.00,20.0,Matches,f3f60814
324,Jorge,br BRA,DF,Palmeiras,25,1996,5.2,0.19,0.00,0.00,0.96,1.92,0.00,3.46,0.58,1.54,0.00,0.00,0.19,4.81,1.54,1.73,47.1,Matches,13c44fc5
325,Jorginho,br BRA,MF,Atl Goianiense,31,1991,18.2,0.44,0.00,0.00,0.93,1.65,0.33,3.68,0.33,0.99,0.00,0.00,0.00,5.88,1.48,1.32,52.9,Matches,1f809750
326,Jhojan Julio,ec ECU,FWMF,Santos,23,1998,9.2,0.22,0.00,0.00,2.39,2.28,0.54,2.28,0.98,1.41,0.00,0.00,0.00,5.33,1.30,1.96,40.0,Matches,b1fc89f5
327,Juninho,br BRA,MF,América (MG),35,1986,0.2,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches,2cc16e46
328,Juninho,br BRA,MF,América (MG),34,1987,34.5,0.17,0.00,0.00,0.96,1.04,0.09,0.84,0.90,0.81,0.03,0.03,0.00,6.70,0.64,1.83,25.9,Matches,7d10ca2e
329,Renato Junior,br BRA,FWMF,Goiás,19,2002,5.5,0.55,0.00,0.00,2.36,1.82,0.18,0.73,0.36,0.73,0.00,0.00,0.00,4.91,2.55,3.64,41.2,Matches,80b72720
330,Jussa,br BRA,MFDF,Fortaleza,25,1996,7.0,0.14,0.00,0.00,2.29,0.00,0.14,0.29,1.14,0.14,0.00,0.14,0.29,5.57,1.29,1.29,50.0,Matches,883f5dc8
331,Kaiky,br BRA,DF,Santos,18,2004,1.0,0.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,100.0,Matches,55634fb8
332,Lucas Kal,br BRA,MF,América (MG),25,1996,24.0,0.17,0.00,0.00,1.17,0.42,0.00,0.13,1.33,0.79,0.00,0.00,0.00,5.92,1.54,0.96,61.7,Matches,33ed689d
333,Kanu,br BRA,DF,Botafogo (RJ),24,1997,16.1,0.31,0.00,0.00,0.93,0.68,0.00,0.06,1.43,0.62,0.00,0.00,0.00,4.53,2.61,1.55,62.7,Matches,fefa9b9a
334,Alan Kardec,br BRA,FWMF,Atlético Mineiro,33,1989,2.9,0.00,0.00,0.00,2.07,1.38,0.00,0.00,0.00,0.34,0.00,0.00,0.00,2.41,4.83,4.14,53.8,Matches,e7fba767
335,Kauan,br BRA,FW,Bragantino,18,2003,0.3,3.33,0.00,0.00,13.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,3.33,50.0,Matches,34375e0b
