Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,0.47,0.12,0.12,2.91,3.26,0.47,1.63,1.16,2.21,0.00,0.00,0.00,6.28,3.26,3.60,47.5,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,0.70,0.00,0.00,2.54,0.79,0.09,4.91,0.96,1.49,0.00,0.00,0.00,3.51,3.33,3.07,52.1,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,0.00,0.00,0.00,3.33,0.00,0.00,0.00,6.67,6.67,0.00,0.00,3.33,3.33,0.00,0.00,,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,3.33,0.00,100.0,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,1.04,0.10,0.00,2.29,1.46,0.00,3.65,1.15,1.15,0.00,0.10,0.00,8.44,1.04,0.83,55.6,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,0.49,0.00,0.00,1.31,0.82,0.33,0.66,0.98,1.15,0.16,0.00,0.00,4.59,1.80,2.79,39.3,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,0.24,0.00,0.00,0.83,2.86,0.12,7.50,0.60,0.71,0.00,0.00,0.00,6.43,0.83,0.71,53.8,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,0.09,0.00,0.00,0.00,0.06,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.97,0.15,0.09,62.5,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,0.00,0.71,0.00,0.71,0.71,0.00,0.00,1.43,2.86,0.00,0.00,0.00,4.29,2.14,0.71,75.0,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,0.29,0.00,0.00,2.26,1.73,0.05,1.25,0.58,0.91,0.00,0.00,0.00,5.43,0.77,0.67,53.3,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,0.16,0.00,0.00,0.86,1.02,0.00,0.27,1.71,0.80,0.00,0.05,0.00,5.40,1.87,1.44,56.5,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,0.83,0.00,0.00,2.50,0.83,0.00,2.50,0.00,1.67,0.00,0.00,0.00,1.67,0.83,0.00,100.0,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,0.37,0.00,0.00,1.71,0.37,0.12,2.32,1.71,1.46,0.00,0.00,0.00,4.27,0.98,1.59,38.1,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,0.22,0.00,0.00,1.92,1.03,0.44,0.55,0.48,0.52,0.04,0.00,0.00,2.18,1.37,2.69,33.6,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,0.15,0.00,0.00,0.08,0.23,0.00,0.00,0.08,0.00,0.00,0.08,0.00,0.54,0.46,0.00,100.0,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,30.0,0.00,10.0,0.0,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,0.29,0.00,0.00,1.12,2.18,0.18,3.00,0.35,0.35,0.06,0.00,0.00,4.59,0.24,0.82,22.2,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,0.19,0.05,0.05,1.01,0.63,0.05,5.53,0.82,0.87,0.00,0.00,0.00,5.67,0.58,0.96,37.5,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,100.0,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,0.09,0.00,0.00,0.81,0.48,0.03,0.06,1.05,0.93,0.00,0.06,0.00,5.09,2.01,1.38,59.3,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,1.67,0.00,0.00,5.00,3.33,0.00,3.33,0.00,1.67,0.00,0.00,0.00,11.7,0.00,0.00,,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,0.38,0.00,0.00,2.08,1.51,0.00,1.89,1.13,0.57,0.00,0.00,0.00,5.28,0.00,0.19,0.0,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,0.13,0.00,0.00,1.04,3.07,0.17,2.12,0.65,0.82,0.00,0.00,0.00,3.94,1.04,1.26,45.3,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,0.51,0.38,0.13,1.39,0.25,0.00,0.25,0.89,0.63,0.00,0.00,0.00,2.78,3.04,1.90,61.5,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,0.54,0.00,0.00,1.35,2.43,0.81,3.78,0.27,0.54,0.27,0.00,0.00,5.41,1.89,2.43,43.8,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,0.24,0.00,0.00,1.21,0.44,0.00,0.00,1.07,0.34,0.00,0.05,0.00,4.47,1.50,1.80,45.6,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,0.05,0.00,0.00,1.85,0.60,0.20,0.30,1.50,1.60,0.00,0.00,0.00,4.75,1.55,1.25,55.4,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,0.00,0.00,0.00,3.08,3.85,0.00,5.38,0.77,0.00,0.00,0.00,0.00,8.46,0.77,0.77,50.0,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.50,0.00,0.00,0.00,5.00,0.00,2.50,0.0,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,0.31,0.00,0.00,0.62,0.69,0.00,0.15,0.77,0.46,0.00,0.00,0.00,4.69,2.08,1.54,57.4,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,0.33,0.00,0.00,1.56,3.33,0.44,1.22,0.00,0.89,0.11,0.00,0.00,3.56,3.78,5.22,42.0,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,0.16,0.00,0.00,0.88,1.60,0.08,2.24,0.56,0.40,0.00,0.00,0.00,5.12,1.36,1.92,41.5,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,0.00,0.00,0.00,1.88,0.63,0.00,3.75,2.50,1.25,0.00,0.00,0.00,4.69,1.88,0.63,75.0,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,0.10,0.00,0.00,0.81,0.40,0.07,1.18,1.04,1.25,0.00,0.03,0.00,5.49,0.40,0.30,57.1,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,0.00,0.00,0.00,2.19,2.19,0.63,0.94,0.00,0.63,0.00,0.00,0.00,2.50,0.00,2.19,0.0,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,0.31,0.00,0.00,1.47,0.99,0.21,6.18,0.99,1.05,0.00,0.00,0.00,6.81,0.99,1.36,42.2,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,0.06,0.00,0.00,1.28,0.33,0.17,4.94,0.94,1.06,0.00,0.00,0.00,3.33,0.89,1.67,34.8,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,0.00,1.00,0.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,9.00,25.0,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,0.29,0.00,0.00,0.57,0.57,0.29,0.00,0.29,0.57,0.00,0.00,0.00,0.86,4.29,3.71,53.6,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,0.04,0.00,0.00,1.02,0.41,0.00,0.16,1.50,0.77,0.00,0.08,0.00,3.66,0.93,1.06,46.9,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,0.00,0.16,0.00,1.45,1.77,0.16,2.42,0.16,0.97,0.00,0.00,0.00,5.81,1.94,3.23,37.5,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,0.00,0.00,0.00,0.46,0.62,0.00,0.00,1.23,0.62,0.00,0.00,0.00,6.77,1.69,0.92,64.7,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,0.34,0.00,0.00,1.38,3.79,0.00,1.38,1.03,2.41,0.00,0.00,0.00,8.97,0.69,1.03,40.0,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,0.14,0.00,0.00,0.82,2.33,0.00,1.78,0.68,0.68,0.00,0.00,0.00,6.30,1.78,0.96,65.0,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,0.16,0.00,0.00,1.37,2.24,0.89,1.21,0.16,0.38,0.00,0.03,0.00,2.24,3.67,3.39,52.0,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,0.44,0.00,0.00,2.10,0.39,0.00,0.22,0.99,1.44,0.00,0.00,0.00,5.69,1.27,1.44,46.9,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,1.25,0.00,0.00,5.00,1.25,0.00,0.00,1.25,3.75,0.00,0.00,0.00,7.50,0.00,6.25,0.0,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,0.16,0.00,0.00,1.14,0.59,0.00,0.38,1.41,1.19,0.00,0.00,0.00,5.89,0.76,0.97,43.8,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,5.00,6.25,0.00,100.0,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,0.14,0.07,0.00,1.51,0.48,0.31,1.58,1.10,0.72,0.00,0.14,0.00,4.49,3.36,1.64,67.1,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,0.06,0.00,0.00,0.76,0.47,0.73,0.35,0.23,0.18,0.03,0.00,0.00,2.46,0.61,0.82,42.9,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,0.13,0.00,0.00,1.60,2.18,0.19,2.24,0.45,1.03,0.06,0.00,0.00,5.06,0.38,0.58,40.0,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,0.10,0.00,0.00,1.08,2.06,0.00,2.25,1.18,1.18,0.00,0.00,0.00,7.84,1.47,0.59,71.4,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,0.33,0.00,0.00,1.30,2.23,0.00,3.15,1.03,1.47,0.00,0.00,0.00,3.70,0.60,1.25,32.4,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,0.25,0.00,0.00,1.89,2.07,0.03,4.86,2.04,1.18,0.00,0.00,0.00,6.90,2.72,1.64,62.4,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,0.36,0.00,0.00,2.00,1.45,0.00,4.73,0.55,0.73,0.00,0.00,0.00,3.82,1.09,1.09,50.0,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,0.32,0.00,0.00,1.85,1.08,0.06,0.32,2.48,1.40,0.00,0.06,0.00,6.56,2.10,0.83,71.7,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,0.47,0.08,0.08,1.71,1.01,0.08,3.18,1.78,1.55,0.00,0.00,0.00,5.66,2.56,2.17,54.1,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,0.73,0.00,0.00,0.73,0.24,0.00,0.00,1.22,0.49,0.00,0.00,0.00,2.68,2.93,1.46,66.7,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,0.00,0.00,0.00,0.69,0.00,0.00,3.45,0.00,1.03,0.00,0.00,0.00,4.83,1.38,0.69,66.7,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,0.00,0.00,0.00,4.07,0.93,0.56,0.19,0.56,0.19,0.00,0.00,0.00,2.41,1.30,2.96,30.4,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,0.09,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.09,0.00,100.0,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,2.50,0.0,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,0.26,0.00,0.00,1.58,1.45,0.13,3.42,1.05,1.32,0.00,0.00,0.00,5.26,0.53,1.58,25.0,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,0.00,0.00,0.00,2.50,0.00,0.00,0.63,0.63,1.88,0.00,0.00,0.00,6.88,2.50,1.88,57.1,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,0.09,0.00,0.00,0.00,0.21,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.76,0.41,0.00,100.0,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,0.20,0.03,0.00,0.80,0.54,0.03,0.06,1.00,0.49,0.00,0.03,0.00,4.34,1.83,1.49,55.2,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,0.52,0.00,0.00,1.90,4.14,1.03,2.24,0.17,0.52,0.17,0.00,0.00,6.38,1.03,1.72,37.5,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,8.00,0.00,2.00,0.0,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,0.04,0.00,0.00,0.08,0.16,0.00,0.00,0.08,0.04,0.00,0.04,0.00,0.92,0.68,0.00,100.0,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,0.67,0.08,0.08,1.26,0.34,0.08,0.25,1.18,0.76,0.00,0.00,0.00,4.62,3.53,2.02,63.6,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,0.22,0.00,0.00,0.79,0.32,0.06,0.00,1.24,0.67,0.00,0.00,0.00,4.86,3.05,1.27,70.6,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,0.13,0.00,0.00,1.11,0.26,0.00,0.07,1.31,0.85,0.00,0.00,0.00,3.08,2.03,0.92,68.9,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,0.23,0.00,0.00,1.00,0.23,0.08,0.00,0.69,0.54,0.00,0.00,0.00,3.23,2.54,1.46,63.5,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,0.30,0.00,0.00,0.97,0.61,0.06,0.00,0.79,0.91,0.00,0.18,0.00,4.30,1.64,1.27,56.3,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,0.00,0.00,0.00,0.56,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,3.89,2.78,0.00,100.0,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,0.12,0.04,0.00,2.23,2.85,0.12,5.99,1.03,1.28,0.00,0.00,0.00,5.45,0.87,1.40,38.2,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,0.63,0.00,0.00,3.54,1.25,0.42,0.63,1.04,1.25,0.00,0.00,0.00,4.38,1.04,0.63,62.5,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,0.23,0.00,0.00,1.92,1.96,0.19,0.42,0.30,0.68,0.00,0.00,0.00,2.72,4.49,3.89,53.6,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,0.19,0.00,0.00,0.96,0.96,0.96,1.35,0.96,0.58,0.19,0.00,0.00,3.08,1.35,3.85,25.9,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,0.25,0.00,0.00,2.00,2.00,0.00,0.63,0.63,1.25,0.00,0.00,0.00,4.63,1.00,1.38,42.1,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,0.19,0.00,0.00,1.15,1.35,0.00,0.00,1.54,0.19,0.00,0.00,0.19,3.85,3.08,1.54,66.7,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,0.28,0.00,0.00,2.78,3.06,1.39,0.28,0.00,0.28,0.00,0.00,0.00,3.61,2.22,4.72,32.0,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,10.9,0.55,0.09,0.09,3.49,0.55,0.37,0.46,0.18,0.92,0.00,0.00,0.00,2.39,5.14,4.50,53.3,Matches,e539e239
142,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,0.21,0.00,0.00,1.67,1.46,0.00,0.63,1.35,1.15,0.00,0.00,0.00,5.83,0.94,1.46,39.1,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,0.00,0.00,0.00,2.94,0.29,0.00,0.29,1.47,2.65,0.00,0.00,0.00,6.76,2.06,1.18,63.6,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,0.05,0.00,0.00,0.82,0.05,0.00,0.00,1.52,0.71,0.00,0.00,0.00,3.75,5.27,2.17,70.8,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,0.32,0.00,0.00,2.26,1.29,0.65,1.94,0.97,0.65,0.00,0.00,0.00,5.48,2.58,2.58,50.0,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,0.26,0.00,0.00,0.78,0.93,0.04,1.04,0.44,0.93,0.00,0.00,0.00,6.04,0.81,0.93,46.8,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,0.16,0.00,0.00,0.98,2.46,0.00,0.82,1.31,1.31,0.00,0.00,0.00,4.59,0.82,0.66,55.6,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,0.31,0.00,0.00,1.08,1.08,0.08,6.08,1.15,1.00,0.00,0.00,0.00,5.77,0.85,0.92,47.8,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,10.0,10.0,50.0,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,0.33,0.06,0.06,1.44,1.89,0.28,4.11,0.67,1.39,0.00,0.00,0.00,5.44,0.33,1.00,25.0,Matches,5c8615dd
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,0.28,0.00,0.00,0.98,0.39,0.07,0.28,2.07,1.02,0.00,0.00,0.00,5.37,2.35,0.95,71.3,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,1.25,0.00,0.00,0.00,1.25,0.00,3.75,0.00,0.00,0.00,0.00,0.00,5.00,0.00,2.50,0.0,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,0.36,0.04,0.04,1.86,2.54,0.11,3.76,0.54,0.79,0.00,0.00,0.00,4.73,0.25,0.97,20.6,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23.0,0.22,0.00,0.00,0.00,0.26,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.39,0.04,0.04,50.0,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,2.6,0.00,0.00,0.00,1.15,0.38,0.00,0.00,0.77,0.00,0.00,0.00,0.00,2.31,1.54,1.54,50.0,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,0.16,0.03,0.00,1.51,0.69,0.03,0.52,0.95,1.31,0.00,0.03,0.00,6.23,0.66,1.02,39.2,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,9.1,0.11,0.00,0.00,2.31,1.76,0.77,1.32,0.00,0.66,0.00,0.00,0.00,2.75,1.54,3.52,30.4,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,0.00,0.00,0.00,3.33,10.0,0.00,6.67,0.00,0.00,0.00,0.00,0.00,13.3,0.00,0.00,,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,0.06,0.00,0.00,0.55,2.93,0.12,8.05,0.30,1.40,0.06,0.00,0.00,4.51,0.79,1.04,43.3,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,0.51,0.00,0.00,2.31,2.05,0.00,0.13,1.15,1.54,0.00,0.00,0.00,6.92,0.51,0.51,50.0,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,0.00,0.00,0.00,8.33,0.00,1.67,3.33,0.00,1.67,0.00,0.00,0.00,6.67,1.67,3.33,33.3,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,1.25,0.00,0.00,1.88,3.44,0.00,2.19,0.94,0.94,0.31,0.00,0.00,5.00,0.63,1.88,25.0,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,0.00,0.00,0.00,2.69,0.77,0.00,5.00,0.77,0.77,0.00,0.00,0.00,6.15,1.54,1.15,57.1,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,0.28,0.00,0.00,0.92,1.99,0.92,0.71,0.28,0.21,0.00,0.00,0.00,3.19,5.18,4.18,55.3,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,0.81,0.00,0.00,2.44,1.74,0.12,2.21,1.05,1.40,0.00,0.00,0.00,5.81,0.58,0.47,55.6,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,0.00,0.00,0.00,0.83,1.67,0.00,0.00,0.83,1.67,0.00,0.00,0.00,3.33,1.67,0.00,100.0,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,0.00,0.00,0.00,1.33,1.33,0.00,0.00,0.67,4.00,0.00,0.00,0.00,2.67,1.33,0.67,66.7,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,0.43,0.00,0.00,1.74,2.61,0.00,3.48,3.04,0.00,0.00,0.00,0.00,4.78,1.74,0.00,100.0,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,0.37,0.00,0.00,1.88,0.42,0.00,0.31,1.26,1.31,0.00,0.05,0.00,3.56,2.46,1.73,58.8,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,0.31,0.00,0.00,2.04,1.94,0.10,0.61,1.02,1.53,0.00,0.10,0.00,6.33,0.61,0.61,50.0,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,0.12,0.00,0.00,1.06,2.40,0.03,2.71,1.09,1.21,0.03,0.00,0.00,6.36,0.87,0.81,51.9,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,0.20,0.00,0.00,0.99,0.69,0.10,3.37,1.29,1.09,0.00,0.00,0.00,3.86,0.99,0.99,50.0,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,0.13,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,100.0,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,0.00,0.00,0.00,1.25,0.00,0.00,1.25,0.00,1.25,,,0.00,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,0.40,0.00,0.00,1.80,0.80,0.00,0.00,1.40,1.20,0.00,0.00,0.00,4.80,2.00,1.00,66.7,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,2.22,0.00,0.00,2.22,0.00,0.00,0.00,4.44,1.11,0.00,0.00,0.00,7.78,8.89,0.00,100.0,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,0.06,0.00,0.00,0.51,2.01,0.19,2.46,0.77,0.22,0.00,0.00,0.00,4.82,0.22,0.80,21.9,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,0.00,0.00,0.00,2.50,0.83,0.00,0.83,2.50,0.00,0.00,0.00,0.00,5.00,0.83,1.67,33.3,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,0.19,0.00,0.00,1.48,2.41,0.00,1.30,1.11,1.30,0.00,0.00,0.00,3.70,0.56,2.59,17.6,Matches,fce54d7d
