Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,1.00,1.00,0.55,0.40,0.00,0.00,0.05,0.00,0.15,0.15,0.00,0.10,0.00,0.00,0.05,0.00,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,1.54,1.59,0.00,0.77,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,2.50,2.31,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,0.38,0.38,0.31,0.08,0.00,0.00,0.00,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,2.00,2.01,1.33,0.00,0.00,0.33,0.22,0.11,0.22,0.22,0.11,0.00,0.00,0.00,0.11,0.00,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,2.88,2.89,2.08,0.08,0.16,0.16,0.24,0.16,0.32,0.32,0.16,0.00,0.08,0.08,0.00,0.00,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,1.56,1.55,0.94,0.63,0.00,0.00,0.00,0.00,0.63,0.62,0.31,0.31,0.00,0.00,0.00,0.00,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,2.12,2.12,1.92,0.13,0.03,0.03,0.00,0.00,0.27,0.27,0.24,0.03,0.00,0.00,0.00,0.00,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,1.56,1.58,0.63,0.00,0.31,0.31,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,3.35,3.35,2.25,0.94,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,2.94,2.95,2.11,0.61,0.00,0.17,0.00,0.06,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,1.71,1.71,0.86,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,0.81,0.81,0.61,0.04,0.00,0.04,0.00,0.12,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,2.74,2.73,2.26,0.00,0.16,0.32,0.00,0.00,0.65,0.64,0.32,0.00,0.16,0.16,0.00,0.00,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,0.31,0.31,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,3.45,3.41,2.76,0.00,0.00,0.34,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,2.19,2.19,1.92,0.00,0.00,0.00,0.27,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,2.30,2.30,1.41,0.00,0.16,0.35,0.35,0.03,0.13,0.13,0.06,0.00,0.03,0.03,0.00,0.00,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,1.93,1.93,1.82,0.06,0.00,0.06,0.00,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,1.14,1.14,1.03,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,1.61,1.61,1.16,0.24,0.00,0.14,0.07,0.00,0.17,0.17,0.14,0.00,0.00,0.03,0.00,0.00,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,1.55,1.55,1.14,0.00,0.09,0.20,0.12,0.00,0.15,0.15,0.12,0.00,0.00,0.00,0.03,0.00,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,2.69,2.69,1.86,0.32,0.19,0.19,0.13,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.06,0.00,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,1.86,1.87,1.27,0.49,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,1.85,1.85,1.20,0.16,0.22,0.11,0.16,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches,ea2634a1
